BveTs Vehicle Performance Table 1.00,
#,
0,129.3905168
50,129.3905168
64,160.6218043
65,158.4066195
66,156.2489551
67,154.1466046
68,152.0974728
69,150.0995693
70,148.1510014
71,146.2499687
72,144.3947572
73,142.5837345
74,140.8153445
75,139.0881036
76,137.4005962
77,135.7514707
78,134.1394362
79,132.5632592
80,131.0217601
81,129.5138105
82,128.0383304
83,126.5942857
84,125.1806858
85,123.7965812
86,122.4410614
87,121.1132532
88,119.8123183
89,118.5374522
90,117.2878819
91,116.0628649
92,114.8616872
93,113.6836625
94,112.5281303
95,111.3944553
96,110.2820255
97,109.190252
98,108.118567
99,107.0664236
100,106.0332945
101,105.0186711
102,104.022063
103,103.0429967
104,102.0810154
105,101.1356778
106,100.2065578
107,99.2932436
108,98.39533735
109,97.51245436
110,96.64422266
111,95.79028243
112,94.95028555
113,94.12389511
114,93.31078497
115,92.5106393
116,91.72315223
117,90.94802741
118,90.18497769
119,89.4337247
120,88.69399861
121,87.96553771
122,87.24808816
123,86.5414037
124,85.84524533
125,85.1593811
126,84.4835858
127,83.81764074
128,83.16133352
129,82.51445779
130,81.87681306
131,81.24820447
132,80.62844259
133,80.01734328
134,79.41472744
135,78.82042087
136,78.23425414
137,77.65606234
138,77.08568502
139,76.522966
140,75.96775321
141,75.41989859
142,74.87925795
143,74.34569082
144,73.81906039
145,73.29923331
146,72.78607964
147,72.27947274
148,71.77928914
149,71.28540843
150,70.79771323
151,70.31608903
152,69.84042413
153,69.37060955
154,68.90653895
155,68.44810855
156,67.99521705
157,67.54776557
158,67.10565756
159,66.66879873
160,66.23709701
