BveTs Vehicle Performance Table 1.00,,,,,
#,C-Empty,,,,
0,77.23,99.73,100,100.11,86.4
1,77.23,99.73,100,100.11,86.4
2,77.23,99.73,100,100.11,86.4
3,77.23,99.73,100,100.11,86.4
4,77.23,99.73,100,100.11,86.4
5,77.23,99.73,100,100.11,86.4
6,77.23,99.73,100,100.11,86.4
7,77.23,99.73,100,100.11,86.4
8,73.83,99.73,100,100.11,86.4
9,71.18,99.73,100,100.11,86.4
10,69.06,99.73,100,100.11,86.4
11,67.33,99.73,100,100.11,86.4
12,65.89,99.73,100,100.11,86.4
13,64.66,99.73,100,100.11,86.4
14,63.62,99.73,100,100.11,86.4
15,62.71,99.73,100,100.11,86.4
16,61.91,99.73,100,100.11,86.4
17,61.21,99.73,100,100.11,86.4
18,60.59,99.73,100,100.11,86.4
19,60.03,99.73,100,100.11,86.4
20,59.53,99.73,100,100.11,86.4
21,59.08,99.73,100,100.11,86.4
22,58.66,99.73,100,100.11,86.4
23,58.29,99.73,100,100.11,86.4
24,57.94,99.73,100,100.11,86.4
25,57.62,99.73,100,100.11,86.4
26,57.33,99.73,100,100.11,86.4
27,57.06,99.73,100,100.11,86.4
28,56.81,99.73,100,100.11,86.4
29,56.57,99.73,100,100.11,86.4
30,56.35,99.73,100,100.11,86.4
31,56.15,98.12,100,100.11,86.4
32,55.96,96.62,100,100.11,86.4
33,55.78,95.21,100,100.11,86.4
34,55.61,93.88,100,100.11,86.4
35,55.45,92.62,100,100.11,86.4
36,55.3,91.44,100,100.11,86.4
37,55.15,90.32,100,100.11,86.4
38,55.02,89.26,100,100.11,86.4
39,54.89,88.25,100,100.11,86.4
40,54.77,87.29,100,100.11,86.4
41,54.65,86.39,100,100.11,86.4
42,54.54,85.52,100,100.11,86.4
43,54.43,84.69,100,100.11,86.4
44,54.33,83.9,100,100.11,86.4
45,54.24,83.15,100,100.11,86.4
46,54.14,82.43,100,100.11,86.4
47,54.06,81.74,100,100.11,86.4
48,53.97,81.08,100,100.11,86.4
49,53.89,80.44,100,100.11,86.4
50,53.81,79.84,100,100.11,86.4
51,53.74,79.25,99.02,100.11,86.4
52,53.67,78.69,98.08,100.11,86.4
53,53.6,78.15,97.17,100.11,86.4
54,53.53,77.63,96.3,100.11,86.4
55,53.47,77.12,95.45,100.11,86.4
56,53.4,76.64,94.64,100.11,86.4
57,53.34,76.17,93.86,100.11,86.4
58,53.29,75.72,93.1,100.11,86.4
59,53.23,75.28,92.37,100.11,86.4
60,53.18,74.86,91.67,100.11,86.4
61,53.12,74.46,90.98,100.11,86.4
62,53.07,74.06,90.32,100.11,86.4
63,53.03,73.68,89.68,100.11,86.4
64,52.98,73.31,89.06,100.11,86.4
65,52.93,72.95,88.46,100.11,86.4
66,52.89,72.6,87.88,100.11,86.4
67,52.85,72.27,87.31,100.11,86.4
68,52.8,71.94,86.76,100.11,86.4
69,52.76,71.62,86.23,100.11,86.4
70,52.72,71.31,85.71,100.11,86.4
71,52.68,71.01,85.21,100.11,86.4
72,52.65,70.72,84.72,100.11,86.4
73,52.61,70.44,84.25,100.11,86.4
74,52.58,70.16,83.78,100.11,86.4
75,52.54,69.89,83.33,100.11,86.4
76,52.51,69.63,82.89,100.11,86.4
77,52.48,69.37,82.47,100.11,86.4
78,52.44,69.13,82.05,100.11,86.4
79,52.41,68.88,81.65,100.11,86.4
80,52.38,68.65,81.25,100.11,86.4
81,52.35,68.42,80.86,100.11,86.4
82,52.32,68.19,80.49,99.5,86.4
83,52.3,67.97,80.12,98.91,86.4
84,52.27,67.76,79.76,98.33,86.4
85,52.24,67.55,79.41,97.76,86.4
86,52.22,67.35,79.07,97.2,86.4
87,52.19,67.15,78.74,96.66,86.4
88,52.17,66.95,78.41,96.13,86.4
89,52.14,66.76,78.09,95.61,86.4
90,52.12,66.58,77.78,95.1,86.4
91,52.09,66.39,77.47,94.61,86.4
92,52.07,66.22,77.17,94.12,86.4
93,52.05,66.04,76.88,93.65,86.4
94,52.03,65.87,76.6,93.18,86.4
95,52.01,65.7,76.32,92.73,86.4
96,51.99,65.54,76.04,92.28,86.4
97,51.97,65.38,75.77,91.85,86.4
98,51.95,65.22,75.51,91.42,86.4
99,51.93,65.07,75.25,91,86.4
100,51.91,64.92,75,90.59,86.4
101,51.89,64.77,74.75,90.19,86.4
102,51.87,64.63,74.51,89.8,86.4
103,51.85,64.48,74.27,89.41,86.4
104,51.83,64.34,74.04,89.03,86.4
105,51.82,64.21,73.81,88.66,86.4
106,51.8,64.07,73.58,88.3,86.4
107,51.78,63.94,73.36,87.94,86.4
108,51.77,63.81,73.15,87.59,86.4
109,51.75,63.69,72.94,87.24,86.4
110,51.73,63.56,72.73,86.9,86.4
111,51.72,63.44,72.52,86.57,86.4
112,51.7,63.32,72.32,86.24,86.4
113,51.69,63.2,72.12,85.92,86.4
114,51.67,63.09,71.93,85.61,86.4
115,51.66,62.97,71.74,85.3,86.4
116,51.64,62.86,71.55,84.99,86.4
117,51.63,62.75,71.37,84.69,86.4
118,51.62,62.64,71.19,84.4,86.4
119,51.6,62.54,71.01,84.11,86.4
120,51.59,62.43,70.83,83.83,86.4
121,51.58,62.33,70.66,83.55,86.4
122,51.56,62.23,70.49,83.27,86.4
123,51.55,62.13,70.33,83,86.4
124,51.54,62.03,70.16,82.74,86.4
125,51.52,61.93,70,82.47,86.4
126,51.51,61.84,69.84,82.22,86.4
127,51.5,61.75,69.69,81.96,86.4
128,51.49,61.65,69.53,81.71,86.4
129,51.48,61.56,69.38,81.47,86.4
130,51.09,61.1,68.85,80.85,86.02
131,50.7,60.63,68.32,80.23,85.36
132,50.31,60.17,67.81,79.62,84.71
133,49.94,59.73,67.31,79.03,84.08
134,49.57,59.28,66.81,78.44,83.46
135,49.2,58.84,66.31,77.86,82.84
136,48.85,58.42,65.83,77.3,82.24
137,48.49,57.99,65.35,76.73,81.64
138,48.14,57.57,64.88,76.18,81.05
139,47.8,57.16,64.42,75.63,80.47
140,47.46,56.76,63.96,75.1,79.9
141,47.12,56.35,63.5,74.56,79.33
142,46.79,55.96,63.06,74.04,78.77
143,46.47,55.57,62.62,73.53,78.23
144,46.15,55.19,62.19,73.02,77.69
145,45.83,54.81,61.76,72.52,77.15
146,45.53,54.44,61.34,72.02,76.63
147,45.22,54.07,60.93,71.53,76.11
148,44.91,53.7,60.51,71.05,75.59
149,44.61,53.34,60.11,70.57,75.08
150,44.6,53.28,60,70.39,74.87
