BveTs Vehicle Performance Table 1.00,,,,,
#,C-Max,,,,
0,77.23,102.58,102.87,102.99,88.48
1,77.23,102.58,102.87,102.99,88.48
2,77.23,102.58,102.87,102.99,88.48
3,77.23,102.58,102.87,102.99,88.48
4,77.23,102.58,102.87,102.99,88.48
5,77.23,102.58,102.87,102.99,88.48
6,77.23,102.58,102.87,102.99,88.48
7,77.23,102.58,102.87,102.99,88.48
8,74.33,102.58,102.87,102.99,88.48
9,71.68,102.58,102.87,102.99,88.48
10,69.56,102.58,102.87,102.99,88.48
11,67.83,102.58,102.87,102.99,88.48
12,66.39,102.58,102.87,102.99,88.48
13,65.16,102.58,102.87,102.99,88.48
14,64.12,102.58,102.87,102.99,88.48
15,63.21,102.58,102.87,102.99,88.48
16,62.41,102.58,102.87,102.99,88.48
17,61.71,102.58,102.87,102.99,88.48
18,61.09,102.58,102.87,102.99,88.48
19,60.53,102.58,102.87,102.99,88.48
20,60.03,102.58,102.87,102.99,88.48
21,59.58,102.58,102.87,102.99,88.48
22,59.16,102.58,102.87,102.99,88.48
23,58.79,102.58,102.87,102.99,88.48
24,58.44,102.58,102.87,102.99,88.48
25,58.12,102.58,102.87,102.99,88.48
26,57.83,102.58,102.87,102.99,88.48
27,57.56,102.58,102.87,102.99,88.48
28,57.31,102.58,102.87,102.99,88.48
29,57.07,102.58,102.87,102.99,88.48
30,56.85,102.58,102.87,102.99,88.48
31,56.65,101.38,102.87,102.99,88.48
32,56.46,99.79,102.87,102.99,88.48
33,56.28,98.3,102.87,102.99,88.48
34,56.11,96.89,102.87,102.99,88.48
35,55.95,95.57,102.87,102.99,88.48
36,55.8,94.32,102.87,102.99,88.48
37,55.65,93.13,102.87,102.99,88.48
38,55.52,92.01,102.87,102.99,88.48
39,55.39,90.95,102.87,102.99,88.48
40,55.27,89.93,102.87,102.99,88.48
41,55.15,88.97,102.87,102.99,88.48
42,55.04,88.06,102.87,102.99,88.48
43,54.93,87.18,102.87,102.99,88.48
44,54.83,86.35,102.87,102.99,88.48
45,54.74,85.55,102.87,102.99,88.48
46,54.64,84.79,102.87,102.99,88.48
47,54.56,84.06,102.87,102.99,88.48
48,54.47,83.36,102.87,102.99,88.48
49,54.39,82.69,102.87,102.99,88.48
50,54.31,82.05,102.87,102.99,88.48
51,54.24,81.43,102.33,102.99,88.48
52,54.17,80.83,101.33,102.99,88.48
53,54.1,80.26,100.38,102.99,88.48
54,54.03,79.71,99.45,102.99,88.48
55,53.97,79.18,98.56,102.99,88.48
56,53.9,78.67,97.7,102.99,88.48
57,53.84,78.17,96.88,102.99,88.48
58,53.79,77.7,96.08,102.99,88.48
59,53.73,77.24,95.3,102.99,88.48
60,53.68,76.79,94.56,102.99,88.48
61,53.62,76.36,93.83,102.99,88.48
62,53.57,75.94,93.14,102.99,88.48
63,53.53,75.54,92.46,102.99,88.48
64,53.48,75.15,91.8,102.99,88.48
65,53.43,74.77,91.17,102.99,88.48
66,53.39,74.4,90.55,102.99,88.48
67,53.35,74.04,89.95,102.99,88.48
68,53.3,73.7,89.37,102.99,88.48
69,53.26,73.36,88.81,102.99,88.48
70,53.22,73.03,88.26,102.99,88.48
71,53.18,72.72,87.73,102.99,88.48
72,53.15,72.41,87.21,102.99,88.48
73,53.11,72.11,86.71,102.99,88.48
74,53.08,71.82,86.22,102.99,88.48
75,53.04,71.53,85.75,102.99,88.48
76,53.01,71.25,85.28,102.99,88.48
77,52.98,70.99,84.83,103.22,88.48
78,52.94,70.72,84.39,102.54,88.48
79,52.91,70.47,83.96,101.88,88.48
80,52.88,70.22,83.54,101.24,88.98
81,52.85,69.97,83.13,100.61,88.98
82,52.82,69.74,82.74,100,88.98
83,52.8,69.5,82.35,99.41,88.98
84,52.77,69.28,81.97,98.83,88.98
85,52.74,69.06,81.6,98.26,88.98
86,52.72,68.84,81.24,97.7,88.98
87,52.69,68.63,80.88,97.16,88.98
88,52.67,68.42,80.54,96.63,88.98
89,52.64,68.22,80.2,96.11,88.98
90,52.62,68.03,79.87,95.6,88.98
91,52.59,67.83,79.55,95.11,88.98
92,52.57,67.65,79.23,94.62,88.98
93,52.55,67.46,78.92,94.15,88.98
94,52.53,67.28,78.62,93.68,88.98
95,52.51,67.1,78.33,93.23,88.98
96,52.49,66.93,78.04,92.78,88.98
97,52.47,66.76,77.75,92.35,88.98
98,52.45,66.6,77.47,91.92,88.98
99,52.43,66.43,77.2,91.5,88.98
100,52.41,66.27,76.93,91.09,88.98
101,52.39,66.12,76.67,90.69,88.98
102,52.37,65.96,76.42,90.3,88.98
103,52.35,65.81,76.16,89.91,88.98
104,52.33,65.67,75.92,89.53,88.98
105,52.32,65.52,75.68,89.16,88.98
106,52.3,65.38,75.44,88.8,88.98
107,52.28,65.24,75.2,88.44,88.98
108,52.27,65.11,74.98,88.09,88.98
109,52.25,64.97,74.75,87.74,88.98
110,52.23,64.84,74.53,87.4,88.98
111,52.22,64.71,74.31,87.07,88.98
112,52.2,64.58,74.1,86.74,88.98
113,52.19,64.46,73.89,86.42,88.98
114,52.17,64.34,73.69,86.11,88.98
115,52.16,64.22,73.49,85.8,88.98
116,52.14,64.1,73.29,85.49,88.98
117,52.13,63.98,73.09,85.19,88.98
118,52.12,63.87,72.9,84.9,88.98
119,52.1,63.76,72.71,84.61,88.98
120,52.09,63.64,72.53,84.33,88.98
121,52.08,63.54,72.35,84.05,88.98
122,52.06,63.43,72.17,83.77,88.98
123,52.05,63.32,71.99,83.5,88.97
124,52.04,63.22,71.82,83.24,88.66
125,52.02,63.12,71.65,82.97,88.35
126,52.01,63.02,71.48,82.72,88.05
127,52,62.92,71.31,82.46,87.75
128,51.99,62.82,71.15,82.21,87.46
129,51.98,62.73,70.99,81.97,87.18
130,51.59,62.25,70.45,81.35,86.52
131,51.2,61.78,69.92,80.73,85.86
132,50.81,61.32,69.4,80.12,85.21
133,50.44,60.87,68.89,79.53,84.58
134,50.07,60.42,68.38,78.94,83.96
135,49.7,59.97,67.87,78.36,83.34
136,49.35,59.55,67.39,77.8,82.74
137,48.99,59.11,66.89,77.23,82.14
138,48.64,58.69,66.42,76.68,81.55
139,48.3,58.28,65.95,76.13,80.97
140,47.96,57.87,65.48,75.6,80.4
141,47.62,57.46,65.02,75.06,79.83
142,47.29,57.06,64.57,74.54,79.27
143,46.97,56.67,64.13,74.03,78.73
144,46.65,56.28,63.69,73.52,78.19
145,46.33,55.9,63.25,73.02,77.65
146,46.03,55.52,62.83,72.52,77.13
147,45.72,55.15,62.4,72.03,76.61
148,45.41,54.78,61.98,71.55,76.09
149,45.11,54.42,61.57,71.07,75.58
150,45.1,54.35,61.45,70.89,75.37
