BveTs Vehicle Performance Table 1.00,,,,,
#,#VALUE!,,,,
0,27987,51105,51386,51504,51504
1,27987,51105,51386,51504,51504
2,27987,51105,51386,51504,51504
3,27987,51105,51386,51504,51504
4,27987,51105,51386,51504,51504
5,27987,51105,51386,51504,51504
6,27987,51105,51386,51504,51504
7,27987,51105,51386,51504,51504
8,22604,51105,51386,51504,51504
9,18721,51105,51386,51504,51504
10,15817,51105,51386,51504,51504
11,13580,51105,51386,51504,51504
12,11815,51105,51386,51504,51504
13,10395,51105,51386,51504,51504
14,9233,51105,51386,51504,51504
15,8268,51105,51386,51504,51504
16,7457,51105,51386,51504,51504
17,6767,51105,51386,51504,51504
18,6176,51105,51386,51504,51504
19,5664,51105,51386,51504,51504
20,5218,51105,51386,51504,51504
21,4826,51105,51386,51504,51504
22,4480,51105,51386,51504,51504
23,4173,51105,51386,51504,51504
24,3898,51105,51386,51504,51504
25,3651,51105,51386,51504,51504
26,3429,51105,51386,51504,51504
27,3228,51105,51386,51504,51504
28,3046,51105,51386,51504,51504
29,2880,51105,51386,51504,51504
30,2728,51105,51386,51504,51504
31,2588,48493,51386,51504,51504
32,2460,46092,51386,51504,51504
33,2342,43877,51386,51504,51504
34,2233,41831,51386,51504,51504
35,2132,39935,51386,51504,51504
36,2038,38175,51386,51504,51504
37,1950,36538,51386,51504,51504
38,1869,35011,51386,51504,51504
39,1793,33586,51386,51504,51504
40,1722,32253,51386,51504,51504
41,1655,31003,51386,51504,51504
42,1592,29831,51386,51504,51504
43,1534,28729,51386,51504,51504
44,1478,27691,51386,51504,51504
45,1426,26713,51386,51504,51504
46,1377,25790,51386,51504,51504
47,1330,24918,51386,51504,51504
48,1286,24092,51386,51504,51504
49,1244,23311,51386,51504,51504
50,1205,22569,51386,51504,51504
51,1167,21865,49784,51504,51504
52,1132,21196,48261,51504,51504
53,1098,20560,46812,51504,51504
54,1065,19954,45433,51504,51504
55,1035,19377,44119,51504,51504
56,1005,18826,42865,51504,51504
57,977,18301,41668,51504,51504
58,950,17799,40524,50616,50616
59,925,17318,39431,49759,49759
60,900,16859,38385,48929,48929
61,877,16419,37383,48127,48127
62,854,15997,36423,47351,47351
63,833,15593,35502,46599,46599
64,812,15205,34619,45871,45871
65,792,14832,33771,45166,45166
66,773,14474,32956,44481,44481
67,755,14130,32172,43817,43817
68,737,13799,31419,43173,43173
69,720,13481,30693,42547,42547
70,704,13174,29995,41939,41939
71,688,12878,29322,41349,41349
72,673,12593,28673,40774,40774
73,658,12319,28047,40216,40216
74,644,12053,27443,39672,39672
75,630,11797,26860,39144,39144
76,617,11550,26297,38628,38628
77,604,11311,25753,38127,38127
78,592,11080,25226,37638,37638
79,580,10856,24717,37162,37162
80,568,10640,24225,36697,36697
81,557,10430,23748,36244,37404
82,546,10228,23286,35539,37404
83,536,10031,22839,34857,37404
84,526,9841,22406,34195,37404
85,516,9656,21986,33554,36964
86,506,9477,21578,32932,36535
87,497,9304,21182,32328,36115
88,488,9135,20799,31743,35704
89,479,8971,20426,31174,35303
90,471,8812,20064,30621,34911
91,463,8658,19712,30085,34527
92,454,8508,19371,29563,34152
93,447,8362,19039,29056,33785
94,439,8220,18716,28563,33425
95,432,8082,18401,28084,33074
96,425,7948,18096,27617,32729
97,418,7817,17798,27163,32392
98,411,7690,17508,26721,32061
99,404,7566,17226,26290,31737
100,398,7445,16952,25871,31420
101,392,7328,16684,25463,31109
102,385,7213,16423,25064,30804
103,379,7101,16169,24676,30505
104,374,6993,15921,24298,30211
105,368,6886,15679,23928,29924
106,362,6783,15443,23568,29641
107,357,6682,15212,23217,29364
108,352,6583,14988,22874,29092
109,347,6486,14768,22539,28826
110,342,6392,14554,22212,28564
111,337,6301,14345,21893,28306
112,332,6211,14140,21581,28053
113,327,6123,13941,21276,27805
114,323,6037,13746,20978,27561
115,318,5954,13555,20687,27322
116,314,5872,13368,20403,27086
117,310,5792,13186,20124,26855
118,305,5713,13008,19852,26627
119,301,5637,12833,19586,26403
120,297,5562,12663,19325,26183
121,293,5488,12496,19070,25967
122,290,5417,12332,18821,25754
123,286,5346,12172,18577,25545
124,282,5277,12015,18338,25339
125,279,5210,11862,18104,25136
126,275,5144,11712,17874,24936
127,272,5079,11565,17650,24740
128,268,5016,11420,17429,24547
129,265,4954,11279,17214,24357
130,262,4893,11141,17002,24169
131,258,4834,11005,16795,23875
132,255,4775,10872,16592,23586
133,252,4718,10741,16393,23303
134,249,4662,10613,16198,23025
135,246,4606,10488,16006,22753
136,243,4552,10365,15818,22486
137,241,4499,10244,15634,22224
138,238,4447,10125,15453,21967
139,235,4396,10009,15276,21714
140,232,4346,9895,15101,21467
141,230,4297,9783,14930,21224
142,227,4249,9673,14763,20985
143,225,4201,9565,14598,20751
144,222,4155,9459,14436,20521
145,220,4109,9355,14277,20295
146,217,4064,9252,14121,20073
147,215,4020,9152,13967,19855
148,213,3976,9053,13817,19641
149,210,3934,8956,13669,19430
150,208,3892,8861,13523,19223
