BveTs Vehicle Performance Table 1.00,,,,,
#,F-Max,,,,
0,27987,57136,57449,57582,57582
1,27987,57136,57449,57582,57582
2,27987,57136,57449,57582,57582
3,27987,57136,57449,57582,57582
4,27987,57136,57449,57582,57582
5,27987,57136,57449,57582,57582
6,27987,57136,57449,57582,57582
7,27987,57136,57449,57582,57582
8,22604,57136,57449,57582,57582
9,18721,57136,57449,57582,57582
10,15817,57136,57449,57582,57582
11,13580,57136,57449,57582,57582
12,11815,57136,57449,57582,57582
13,10395,57136,57449,57582,57582
14,9233,57136,57449,57582,57582
15,8268,57136,57449,57582,57582
16,7457,57136,57449,57582,57582
17,6767,57136,57449,57582,57582
18,6176,57136,57449,57582,57582
19,5664,57136,57449,57582,57582
20,5218,57136,57449,57582,57582
21,4826,57136,57449,57582,57582
22,4480,57136,57449,57582,57582
23,4173,57136,57449,57582,57582
24,3898,57136,57449,57582,57582
25,3651,57136,57449,57582,57582
26,3429,57136,57449,57582,57582
27,3228,57136,57449,57582,57582
28,3046,57136,57449,57582,57582
29,2880,55900,57449,57582,57582
30,2728,54037,57449,57582,57582
31,2588,51275,57449,57582,57582
32,2460,48736,57449,57582,57582
33,2342,46394,57449,57582,57582
34,2233,44230,57449,57582,57582
35,2132,42226,57449,57582,57582
36,2038,40365,57449,57582,57582
37,1950,38634,57449,57582,57582
38,1869,37020,57449,57582,57582
39,1793,35513,57449,57582,57582
40,1722,34103,57449,57582,57582
41,1655,32782,57449,57582,57582
42,1592,31542,57449,57582,57582
43,1534,30377,57449,57582,57582
44,1478,29280,57449,57582,57582
45,1426,28245,57449,57582,57582
46,1377,27269,57449,57582,57582
47,1330,26347,57449,57582,57582
48,1286,25474,56597,57582,57582
49,1244,24648,55442,57582,57582
50,1205,23864,54333,57582,57582
51,1167,23120,52639,57582,57582
52,1132,22412,51028,57582,57582
53,1098,21740,49497,57582,57582
54,1065,21099,48038,57484,57484
55,1035,20489,46648,56439,56439
56,1005,19906,45323,55431,55431
57,977,19351,44057,54459,54459
58,950,18820,42848,53520,53520
59,925,18312,41692,52613,52613
60,900,17826,40586,51736,51736
61,877,17361,39527,50888,50888
62,854,16915,38512,50067,50067
63,833,16487,37538,49272,49272
64,812,16077,36604,48502,48502
65,792,15683,35707,47756,47756
66,773,15305,34846,47033,47033
67,755,14941,34017,46331,46331
68,737,14591,33220,45649,45649
69,720,14254,32453,44988,44988
70,704,13930,31715,44345,44345
71,688,13617,31003,43721,43721
72,673,13316,30317,43113,43113
73,658,13025,29655,42523,42523
74,644,12745,29017,41948,41948
75,630,12474,28400,41389,41389
76,617,12212,27805,40844,40844
77,604,11960,27229,40190,41818
78,592,11715,26673,39369,41818
79,580,11479,26135,38574,41818
80,568,11250,25614,37806,41527
81,557,11029,25110,37062,41015
82,546,10814,24622,36341,40515
83,536,10607,24149,35643,40026
84,526,10405,23691,34967,39550
85,516,10210,23246,34311,39085
86,506,10021,22815,33675,38630
87,497,9837,22397,33058,38186
88,488,9659,21991,32459,37752
89,479,9486,21597,31877,37328
90,471,9318,21215,31312,36913
91,463,9155,20843,30764,36508
92,454,8996,20482,30230,36111
93,447,8842,20130,29712,35723
94,439,8692,19789,29208,35343
95,432,8546,19457,28717,34971
96,425,8404,19133,28240,34606
97,418,8266,18819,27776,34250
98,411,8131,18512,27324,33900
99,404,8000,18214,26884,33558
100,398,7872,17924,26455,33222
101,392,7748,17640,26037,32893
102,385,7627,17365,25630,32571
103,379,7509,17096,25233,32254
104,374,7394,16833,24846,31944
105,368,7281,16578,24468,31640
106,362,7172,16328,24100,31342
107,357,7065,16085,23741,31049
108,352,6960,15847,23390,30761
109,347,6859,15615,23048,30479
110,342,6759,15389,22713,30202
111,337,6662,15167,22387,29930
112,332,6567,14951,22068,29663
113,327,6474,14740,21756,29400
114,323,6384,14534,21452,29142
115,318,6295,14332,21154,28889
116,314,6208,14135,20863,28640
117,310,6124,13942,20578,28395
118,305,6041,13754,20300,28154
119,301,5960,13569,20028,27918
120,297,5881,13389,19761,27685
121,293,5803,13212,19501,27456
122,290,5727,13039,19246,27231
123,286,5653,12870,18996,27003
124,282,5580,12704,18751,26655
125,279,5509,12542,18512,26315
126,275,5439,12383,18277,25982
127,272,5371,12228,18048,25655
128,268,5304,12075,17823,25335
129,265,5238,11926,17602,25022
130,262,5174,11779,17386,24715
131,258,5111,11636,17174,24413
132,255,5049,11495,16966,24118
133,252,4988,11357,16763,23829
134,249,4929,11222,16563,23545
135,246,4871,11089,16367,23266
136,243,4814,10959,16175,22993
137,241,4757,10831,15987,22725
138,238,4702,10706,15802,22462
139,235,4648,10583,15620,22204
140,232,4595,10462,15442,21951
141,230,4543,10344,15267,21703
142,227,4492,10228,15096,21459
143,225,4442,10113,14927,21219
144,222,4393,10001,14762,20984
145,220,4345,9891,14599,20753
146,217,4297,9783,14439,20526
147,215,4250,9677,14283,20303
148,213,4205,9572,14128,20084
149,210,4159,9470,13977,19869
150,208,4115,9369,13828,19657
