Bvets Motor Noise Table 0.01,,,,,,,,,,,,,,,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.33,1,0,,,,,,,,,,,,,,,,,,,,,,0
6.38,0,0.6,,,,,,,,,,,,,,,,,,,,,,0.1
8.58,,0.6,0,,,,,,,,,,,,,,,,,,,,,0.5
8.63,,0,1,0,,,,,,,,,,,,,,,,,,,,
16.3,,,0,1,,,,,,,,,,,,,,,,,,,,1
16.35,,,,0,,,,,,,,,,,,,,,,,,,,0
6,,,,,0,,,,,,,,,,,,,,,,,,,
7,,,,,0.5,,,,,,,,,,,,,,,,,,,
8,,,,,0,,,,,,,,,,,,,,,,,,,
8,,,,,,0,,,,,,,,,,,,,,,,,,
11,,,,,,1,,,,,,,,,,,,,,,,,,
16.3,,,,,,1,,,,,,,,,,,,,,,,,
16.35,,,,,,0,,,,,,,,,,,,,,,,,
16.3,,,,,,,,,,,,,,,,,,,,,,,0
16.35,,,,,,,,,,,,,,,,,,,,,,0,0.8
28,,,,,,,,,,,,,,,,,,,,,0,0.7,0
28.05,,,,,,,,,,,,,,,,,,,,0,0.9,0,
33,,,,,,,,,,,,,,,,,,,0,0.9,0,,
36,,,,,,,,,,,,,,,,,,,0.9,0,,,
40,,,,,,,,,,,,,,,,,,0,1,,,,
40.05,,,,,,,,,,,,,,,,,0,1,0,,,,
44,,,,,,,,,,,,,,,,0,0.9,0,,,,,
56,,,,,,,,,,,,,,0,,0.5,0,,,,,,
65,,,,,,,,,,,,,,0.4,0,0,,,,,,,
95,,,,,,,,,,,,,,0,0.3,,,,,,,,
